Nimi;Name;longitude;latitude
Hämeenlinnanväylä;Hämeenlinnanväylä;24.90283225;60.22745107
Vesakkotie;Vesakkotie;24.92661538;60.22795952
Maunula;Maunula;24.932503;60.23038288
Lepolantie;Lepolantie;24.92860466;60.2390854
Kylävoudintie;Kylävoudintie;24.95256124;60.22440378
Kustaankartano;Kustaankartano;24.94876516;60.23070286
Käskynhaltijantie;Käskynhaltijantie;24.95793412;60.23323194
Mäkitorpantie;Mäkitorpantie;24.96033562;60.22853006
Siltavoudintie;Siltavoudintie;24.96496924;60.23371722
Oulunkylän asema;Oulunkylä Station;24.96671856;60.22910015
Kirkkoherrantie;Kirkkoherrantie;24.97281938;60.22493036
Otto Brandtin tie;Otto Brandtin tie;24.97813892;60.23178406
Katariina Saksilaisen katu;Katariina Saksilaisen katu;24.98442088;60.21720682
Hernepellontie;Hernepellontie;24.98861297;60.22424126
Aulangontie;Aulangontie;24.99858042;60.23025963
Pihlajamäki;Pihlajamäki;25.0103139;60.23457856
Viikin tiedepuisto;Viikki Science Park;25.0100484;60.22753942
Viikin normaalikoulu;Viikki Teacher Training School;25.02759403;60.22746497
Agronominkatu;Agronominkatu;25.0328574;60.234053
Von Daehnin katu;Von Daehnin katu;25.04361788;60.23034435
Mustikkamaa;Mustikkamaa;24.99210541;60.18184439
Relanderinaukio;Relanderinaukio;25.00580791;60.18585473
Kulosaari (M);Kulosaari (M);25.00646369;60.18892931
Tupasaarentie;Tupasaarentie;25.01532898;60.18788712
Haakoninlahdenkatu;Haakoninlahdenkatu;25.02086096;60.16886855
Gunillantie;Gunillantie;25.03301224;60.17199385
Isosaarentie;Isosaarentie;25.0450148;60.1755055
Reiherintie;Reiherintie;25.04749626;60.1677305
Laajasalon ostoskeskus;Laajasalo shopping center;25.05191201;60.18000915
Humalniementie;Humalniementie;25.05306036;60.18370629
Tammisalon aukio;Tammisalon aukio;25.06106044;60.19166365
Agnetankuja;Agnetankuja;25.03650067;60.18721135
Laivalahden puistotie;Laivalahden puistotie;25.03132424;60.18796169
Herttoniemenranta;Herttoniemenranta;25.02610749;60.19022412
Margareetankuja;Margareetankuja;25.03722671;60.19102675
Abraham Wetterin tie;Abraham Wetterin tie;25.04265339;60.1927662
Petter Wetterin tie;Petter Wetterin tie;25.03108061;60.19315
Herttoniemi (M);Herttoniemi (M);25.02890744;60.1946246
Asentajanpuisto;Asentajanpuisto;25.04245829;60.19915348
Siilitie (M);Siilitie (M);25.04514991;60.20594128
Herttoniemen kirkko;Herttoniemi Church;25.03222542;60.19847209
Eränkävijäntori;Eränkävijäntori;25.03362553;60.20457962
Siilitie 9;Siilitie 9;25.03752681;60.20945315
Siilitie 13;Siilitie 13;25.04384038;60.2150937
Roihupelto;Roihupelto;25.0550878;60.20936712
Porolahden koulu;Porolahti school;25.05358094;60.19552334
Peukaloisentie;Peukaloisentie;25.05854692;60.19870829
Tulisuontie;Tulisuontie;25.06007552;60.20207418
Prinsessantie;Prinsessantie;25.05986335;60.20629431
Marjaniementie;Marjaniementie;25.07606936;60.20432488
Voikukantie;Voikukantie;25.0867813;60.20901595
Itäkeskus (M);Itäkeskus (M);25.07597444;60.20961862
Puotinharju;Puotinharju;25.0824161;60.21255603
Marjaniemi;Marjaniemi;25.08634436;60.20361993
Puotilantie;Puotilantie;25.10041803;60.20907879
